CFFcropid,INSTCODE,ACCENUMB,COLLNUMB,COLLCODE,COLLNAME,COLLINSTADDRESS,COLLMISSID,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,CROPNAME,ACCENAME,ACQDATE,ORIGCTY,COLLSITE,lat,lon,COORDUNCERT,COORDDATUM,GEOREFMETH,ELEVATION,COLLDATE,BREDCODE,BREDNAME,SAMPSTAT,ANCEST,COLLSRC,DONORCODE,DONORNAME,DONORNUMB,OTHERNUMB,DUPLSITE,DUPLINSTNAME,STORAGE,MLSSTAT,UUID,HISTORIC,ACCEURL,REMARKS
10001000035,IND002,ICP 14033,RSB 143,IND002,,,ICRISAT-MISN-133,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19870716,IND,Girawa; Sagar district,23.840001,78.75,,,,520,19860313,,,300,,21,,,,,,,12;13,,dec0344f-e42a-4c6e-b10f-ea570ef5241f,,,
10001000035,IND002,ICP 7489,ANM 141,IND002,,,ICRISAT-MISN-006,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19750615,IND,Girwani; Ambikapur,23.85,83.029998,,,,,19750201,,,300,,21,,,,,,,12;13,,00f5070a-28f2-4d90-a22b-02f482797b3a,,,
10001000035,IND002,ICP 15882,BS 23,IND002,,,ICRISAT-MISN-177,Cajanus,scarabaeoides,(L.) Thouars,,,pigeonpea,,19950706,IND,5N of Agartala; West Tripura,23.870334,91.290001,,,,10,19891201,,,100,,10,,,,ICPW 281,,,12,,0c3bdb64-4d95-4bcf-8861-eb9b2b3d514e,,,
10001000035,IND002,ICP 11425,JM 3691,IND002,,,ICRISAT-MISN-047,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19820625,BGD,"Mirpur, Kushtia",23.94,88.980003,,,,50,19790311,,,300,,21,,,,,,,12;13,,6fba8429-2e92-498a-a41c-fd39ae22b83d,,,
10001000035,IND002,ICP 14596,AKG 162,IND002,,,ICRISAT-MISN-136,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19900428,IND,Jamtara; Dumka district,23.944057,86.832221,,,,150,19861119,,,300,,21,,,,,,,12;13,,30d4820c-a8ed-4ba9-80b8-1d7ad390fa3f,,,
10001000035,IND002,ICP 11421,JM 3666,IND002,,,ICRISAT-MISN-047,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19820625,BGD,Banagram; Pabna,23.969999,89.419998,,,,40,19790310,,,300,,21,,,,,,,12;13,,b8255ef8-1996-401a-ad90-c397cca20cdb,,,
10001000035,IND002,ICP 11422,JM 3667,IND002,,,ICRISAT-MISN-047,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19820625,BGD,Banagram; Pabna,23.969999,89.419998,,,,40,19790310,,,300,,21,,,,,,,12;13,,dcebb8d3-e2c0-4184-8b08-8c1de3cadcfb,,,
10001000035,IND002,ICP 10060,PR 5028,IND002,,,ICRISAT-MISN-049,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19790417,IND,Pratapur; Panna district,23.989999,80.739997,,,,,19790318,,,300,,21,,,,,,,12;13,,23706f7a-a777-4e75-8feb-ae3794d785f4,,,
10001000035,IND002,ICP 14595,AKG 158,IND002,,,ICRISAT-MISN-136,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19900428,IND,Chopadaru; Hazaribagh district,24,85.36,,,,360,19861118,,,300,,21,,,,,,,12;13,,59ea9567-d2c1-4db1-a743-3da0dfb9c562,,,
10001000035,IND002,ICP 8158,ANM 511,IND002,,,ICRISAT-MISN-016,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19760615,IND,Gurandi; Hazaribagh district,24,85.36,,,,,19760406,,,300,,21,,,,,,,12;13,,c583d344-bf51-4141-86d6-ac386bd573ce,,,
10001000035,IND002,ICP 8159,ANM 512,IND002,,,ICRISAT-MISN-016,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19760615,IND,Gangri; Hazaribagh district,24,85.36,,,,,19760407,,,300,,21,,,,,,,12;13,,8ffc434b-911c-4f2b-beef-b02b5908a8ed,,,
10001000035,IND002,ICP 8160,ANM 513,IND002,,,ICRISAT-MISN-016,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19760615,IND,Raketh; Hazaribagh district,24,85.36,,,,,19760407,,,300,,21,,,,,,,12;13,,5aceadac-1c1e-4533-90ea-9bd2b43d6b74,,,
10001000035,IND002,ICP 8162,ANM 515,IND002,,,ICRISAT-MISN-016,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19760615,IND,Laepu; Hazaribagh district,24,85.36,,,,,19760407,,,300,,21,,,,,,,12;13,,8e7960c2-ba57-4222-906c-ae63128c3210,,,
10001000035,IND002,ICP 14047,RSB 219,IND002,,,ICRISAT-MISN-133,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19870716,IND,Maulya; Rajgarh,24.01,76.730003,,,,530,19860318,,,300,,21,,,,,,,12;13,,6a6eb432-1b48-4a5d-81ab-304c568691ec,,,
10001000035,IND002,ICP 8038,ANM 398,IND002,,,ICRISAT-MISN-016,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19760615,IND,Tutilava; Hazaribagh district,24.03,85.029998,,,,,19760323,,,300,,21,,,,,,,12;13,,050ebfca-6838-4d42-bd06-ae6e6cccf554,,,
10001000035,IND002,ICP 15317,SSD 106,IND002,,,ICRISAT-MISN-205,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19940427,IND,Ghardi; Mandsaur district,24.059999,75.069999,,,,380,19930301,,,300,,21,,,,,,,12,,b4ee9966-af9c-48b3-99c2-0440367fe8fe,,,
10001000035,IND002,ICP 7068,DSLR 88,IND002,,,ICRISAT-MISN-001,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19740620,IND,Amdara; Chhatarpur district,24.11,80.580001,,,,,19740414,,,300,,21,,,,,,,12;13,,522528ef-c2cf-4851-b844-36aeba808e4b,,,
10001000035,IND002,ICP 11423,JM 3680,IND002,,,ICRISAT-MISN-047,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19820625,BGD,Dashuria market 8 km to Ishurdi,24.129999,89.069999,,,,80,19790310,,,300,,21,,,,,,,12;13,,95c58b97-c00c-4871-9e1a-2d35315c6796,,,
10001000035,IND002,ICP 11424,JM 3683,IND002,,,ICRISAT-MISN-047,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19820625,BGD,Pakshi 5 km to Ishurdi,24.129999,89.069999,,,,60,19790311,,,300,,21,,,,,,,12;13,,944bd8e8-fcb1-4bf3-ba9a-da800b933d3b,,,
10001000035,IND002,ICP 14224,RJ 187,IND002,,,ICRISAT-MISN-137,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19880624,IND,Kanchanpur; Satna district,24.166667,79.833333,,,,360,19870318,,,300,,21,,,,,,,12;13,,ede64750-10aa-4b2f-b8c4-0163d91903d9,,,
10001000035,IND002,ICP 14225,RJ 189,IND002,,,ICRISAT-MISN-137,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19880624,IND,Korwara; Satna district,24.166667,79.833333,,,,360,19870318,,,300,,21,,,,,,,12;13,,4dd64db7-3189-4dfb-9e8c-9a90f9ca9207,,,
10001000035,IND002,ICP 8161,ANM 514,IND002,,,ICRISAT-MISN-016,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19760615,IND,Chatra; Hazaribagh district,24.2,84.860001,,,,,19760407,,,300,,21,,,,,,,12;13,,e466f490-9a90-48e3-8d26-c4cefeb81504,,,
