CFFcropid,INSTCODE,ACCENUMB,COLLNUMB,COLLCODE,COLLNAME,COLLINSTADDRESS,COLLMISSID,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,CROPNAME,ACCENAME,ACQDATE,ORIGCTY,COLLSITE,lat,lon,COORDUNCERT,COORDDATUM,GEOREFMETH,ELEVATION,COLLDATE,BREDCODE,BREDNAME,SAMPSTAT,ANCEST,COLLSRC,DONORCODE,DONORNAME,DONORNUMB,OTHERNUMB,DUPLSITE,DUPLINSTNAME,STORAGE,MLSSTAT,UUID,HISTORIC,ACCEURL,REMARKS
10001000051,NGA039,TDa-4140,M008Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Mano,8.04,-12.1,,,,25,,,,300,,,,,,,,,13;30,,6b6846fe-ccb5-4b96-850e-11bfcc6c672e,,http://my.iita.org/accession2/accession/TDa-4140,
10001000051,NGA039,TDa-4125,M009Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Makonde,8.13,-12.85,,,,,,,,300,,,,,,,,,13;30,,1e624254-4bf2-47cf-a394-df3381a43bda,,http://my.iita.org/accession2/accession/TDa-4125,
10001000051,NGA039,TDa-3919,,,,,,Dioscorea,alata,,,,yam,,,BEN,OGBOMOSO,8.1333337,4.2666667,,,,341,,,,300,,,,,,,,,13;30,,50b0c1eb-82a4-42eb-8229-789e5a447c9b,,http://my.iita.org/accession2/accession/TDa-3919,
10001000051,NGA039,TDa-3130,RB-89 - 13,,,,,Dioscorea,alata,,,,yam,,,BEN,,8.2,2.37,,,,252,19890101,,,300,,,,,,,,,13;30,,a9629dff-f839-4b90-9d26-c8f9a1d7858f,,http://my.iita.org/accession2/accession/TDa-3130,
10001000051,NGA039,TDa-4127,B011Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Fulawahun,8.2451,-10.7124,,,,252,,,,300,,,,,,,,,13;30,,1b8cce9e-3789-45ac-b670-61433fd868bf,,http://my.iita.org/accession2/accession/TDa-4127,
10001000051,NGA039,TDa-4132,B020Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Fulawahun,8.2451,-10.7124,,,,252,,,,300,,,,,,,,,13;30,,ac266c3c-a8d9-42ac-8215-755764bb629a,,http://my.iita.org/accession2/accession/TDa-4132,
10001000051,NGA039,TDa-4136,B003Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Bumpe,8.35,-11.93,,,,252,,,,300,,,,,,,,,13;30,,2128bd11-047e-4a4c-af87-3e7dffb3cf54,,http://my.iita.org/accession2/accession/TDa-4136,
10001000051,NGA039,TDa-3900,IN94A-094,,,,,Dioscorea,alata,,,,yam,,,BEN,ZOU,8.4200001,1.92,,,,200,,,,300,,,,,,,,,13;30,,ab9193d1-f546-46bd-aeab-4eaa9c4ad3f7,,http://my.iita.org/accession2/accession/TDa-3900,
10001000051,NGA039,TDa-4146,K002Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Blama,8.4371,-11.4547,,,,118,,,,300,,,,,,,,,13;30,,7661f39d-b73d-40f6-9c05-068ec57f65dc,,http://my.iita.org/accession2/accession/TDa-4146,
10001000051,NGA039,TDa-4043,,,,,,Dioscorea,alata,,,,yam,,,NGA,"LABAR, IGABI LGA, KADUNA STATE",8.48333,8.51667,,,,152,,,,300,,,,,,,,,13;30,,29f44022-ef61-4ad9-af31-05c146a07612,,http://my.iita.org/accession2/accession/TDa-4043,
